OBJECTID;type;IPBES_regi;IPBES_sub;Shape_Leng;Shape_Area;geometry;long;lat;x;y
11;Land;Asia-Pacific;Oceania;1375,275572;770,7731871;c(136.309835140874, -25.279100809211);136,3098351;-25,27910081;133,3098351;-25,27910081
1;Land;Americas;Caribbean;355,6993665;20,28329521;c(-74.7812977887268, 20.2200115157002);-74,78129779;20,22001152;-44,78129779;26,22001152
2;Land;Africa;Central Africa;175,3291111;439,6258956;c(19.9910025363718, 3.55551984194007);19,99100254;3,555519842;19,99100254;1,555519842
3;Land;Europe-Central Asia;Central and Western Europe;5148,802984;1455,296091;c(7.53274513581873, 57.9498923221418);7,532745136;57,94989232;10,53274514;50,94989232
4;Land;Europe-Central Asia;Central Asia;183,0583938;463,6249409;c(66.285326844191, 45.8799683451478);66,28532684;45,87996835;66,28532684;45,87996835
5;Land;Africa;East Africa and adjacent islands;312,1524838;406,9247407;c(38.4958526679565, 0.756689252594668);38,49585267;0,756689253;61,49585267;-2,243310747
6;Land;Europe-Central Asia;Eastern Europe;2415,658045;3049,861631;c(90.7827565502587, 66.0425411975827);90,78275655;66,0425412;36,78275655;60,0425412
7;Land;Americas;Mesoamerica;401,9977906;217,4287557;c(-98.6166813418619, 21.7991023249793);-98,61668134;21,79910232;-128,6166813;16,79910232
8;Land;Asia-Pacific;North-East Asia;999,9642012;1201,083213;c(104.987448948194, 38.3205846120165);104,9874489;38,32058461;104,9874489;38,32058461
9;Land;Africa;North Africa;295,7154151;775,004735;c(12.3993973150816, 25.137209411331);12,39939732;25,13720941;4,399397315;28,13720941
10;Land;Americas;North America;5974,541321;2820,092049;c(-100.60587243461, 52.9338113075058);-100,6058724;52,93381131;-98,60587243;43,93381131
12;Land;Asia-Pacific;South-East Asia;1666,511401;371,8958587;c(110.23974138678, 7.82777551897953);110,2397414;7,827775519;143,2397414;15,82777552
13;Land;Americas;South America;1672,85447;1541,532604;c(-60.4425454033707, -14.0007470504564);-60,4425454;-14,00074705;-56,4425454;-15,50074705
14;Land;Asia-Pacific;South Asia;442,0316221;614,3514352;c(71.6562609206291, 27.5722962774985);71,65626092;27,57229628;71,65626092;27,57229628
15;Land;Africa;Southern Africa;202,1162337;517,4095232;c(24.5725780402145, -19.4872870634023);24,57257804;-19,48728706;24,57257804;-22,48728706
16;Land;Africa;West Africa;219,5621101;419,6677773;c(0.714296231646764, 13.5979036586295);0,714296232;13,59790366;-5,285703768;5,402096341
17;Land;Asia-Pacific;Western Asia;234,5636936;316,1655296;c(45.7087348726741, 24.7205211411026);45,70873487;24,72052114;44,70873487;24,72052114