"Scenario";"LUCC";"Model";"Region";"Years";"Metric";"Taxa";"Units";"Value";"Scale";"Family";"Source";"Original_model_metric"
"Historical";"LU";"cSAR-iDiv";"Global";"1900-2015";"Species richness (diversity-weighted)";"Birds";"%";4,38634166367496;"Alpha";"SSalpha";"Raster";"SR_local-Global"
"SSP1xRCP2.6";"LU";"cSAR-iDiv";"Global";"2015-2050";"Species richness (diversity-weighted)";"Birds";"%";-0,179142034972456;"Alpha";"SSalpha";"Raster";"SR_local-Global"
"SSP3xRCP6.0";"LU";"cSAR-iDiv";"Global";"2015-2050";"Species richness (diversity-weighted)";"Birds";"%";0,495693739491209;"Alpha";"SSalpha";"Raster";"SR_local-Global"
"SSP5xRCP8.5";"LU";"cSAR-iDiv";"Global";"2015-2050";"Species richness (diversity-weighted)";"Birds";"%";-0,0222794742582414;"Alpha";"SSalpha";"Raster";"SR_local-Global"
"Historical";"LU";"cSAR-iDiv";"Global";"1900-2015";"Species richness (diversity-weighted)";"Forest_Birds";"%";-6,07905666649289;"Alpha";"SSalpha";"Raster";"SR_local-Global"
"SSP1xRCP2.6";"LU";"cSAR-iDiv";"Global";"2015-2050";"Species richness (diversity-weighted)";"Forest_Birds";"%";-0,674962365830685;"Alpha";"SSalpha";"Raster";"SR_local-Global"
"SSP3xRCP6.0";"LU";"cSAR-iDiv";"Global";"2015-2050";"Species richness (diversity-weighted)";"Forest_Birds";"%";-2,09539788490881;"Alpha";"SSalpha";"Raster";"SR_local-Global"
"SSP5xRCP8.5";"LU";"cSAR-iDiv";"Global";"2015-2050";"Species richness (diversity-weighted)";"Forest_Birds";"%";-2,1840482361201;"Alpha";"SSalpha";"Raster";"SR_local-Global"
"Historical";"LU";"cSAR-iDiv";"Global";"1900-2015";"Species richness (diversity-weighted)";"Other_Birds";"%";6,36654670000521;"Alpha";"SSalpha";"Raster";"SR_local-Global"
"SSP1xRCP2.6";"LU";"cSAR-iDiv";"Global";"2015-2050";"Species richness (diversity-weighted)";"Other_Birds";"%";-0,0900477899130866;"Alpha";"SSalpha";"Raster";"SR_local-Global"
"SSP3xRCP6.0";"LU";"cSAR-iDiv";"Global";"2015-2050";"Species richness (diversity-weighted)";"Other_Birds";"%";0,940068258033839;"Alpha";"SSalpha";"Raster";"SR_local-Global"
"SSP5xRCP8.5";"LU";"cSAR-iDiv";"Global";"2015-2050";"Species richness (diversity-weighted)";"Other_Birds";"%";0,343399798191317;"Alpha";"SSalpha";"Raster";"SR_local-Global"
"Historical";"LU";"cSAR-iDiv";"Global";"1900-2015";"Species richness";"Birds";"%";3,42166740512907;"Alpha";"Salpha";"Raster";"SR_local-Global"
"SSP1xRCP2.6";"LU";"cSAR-iDiv";"Global";"2015-2050";"Species richness";"Birds";"%";-0,0584744106565188;"Alpha";"Salpha";"Raster";"SR_local-Global"
"SSP3xRCP6.0";"LU";"cSAR-iDiv";"Global";"2015-2050";"Species richness";"Birds";"%";0,394480091826086;"Alpha";"Salpha";"Raster";"SR_local-Global"
"SSP5xRCP8.5";"LU";"cSAR-iDiv";"Global";"2015-2050";"Species richness";"Birds";"%";0,0552664027387825;"Alpha";"Salpha";"Raster";"SR_local-Global"
"Historical";"LU";"cSAR-iDiv";"Global";"1900-2015";"Species richness";"Forest_Birds";"%";-5,73966017052165;"Alpha";"Salpha";"Raster";"SR_local-Global"
"SSP1xRCP2.6";"LU";"cSAR-iDiv";"Global";"2015-2050";"Species richness";"Forest_Birds";"%";-0,442506116896729;"Alpha";"Salpha";"Raster";"SR_local-Global"
"SSP3xRCP6.0";"LU";"cSAR-iDiv";"Global";"2015-2050";"Species richness";"Forest_Birds";"%";-1,91321861841033;"Alpha";"Salpha";"Raster";"SR_local-Global"
"SSP5xRCP8.5";"LU";"cSAR-iDiv";"Global";"2015-2050";"Species richness";"Forest_Birds";"%";-1,48324890899309;"Alpha";"Salpha";"Raster";"SR_local-Global"
"Historical";"LU";"cSAR-iDiv";"Global";"1900-2015";"Species richness";"Other_Birds";"%";4,72315754649115;"Alpha";"Salpha";"Raster";"SR_local-Global"
"SSP1xRCP2.6";"LU";"cSAR-iDiv";"Global";"2015-2050";"Species richness";"Other_Birds";"%";0,00929078971485214;"Alpha";"Salpha";"Raster";"SR_local-Global"
"SSP3xRCP6.0";"LU";"cSAR-iDiv";"Global";"2015-2050";"Species richness";"Other_Birds";"%";0,670720745445659;"Alpha";"Salpha";"Raster";"SR_local-Global"
"SSP5xRCP8.5";"LU";"cSAR-iDiv";"Global";"2015-2050";"Species richness";"Other_Birds";"%";0,305602197975164;"Alpha";"Salpha";"Raster";"SR_local-Global"
"Historical";"LU";"cSAR-iDiv";"Global";"1900-2015";"Species richness";"Birds";"%";-1,62711133489138;"GammaGlobal";"Sgamma";"CSV";"SR_Global"
"SSP1xRCP2.6";"LU";"cSAR-iDiv";"Global";"2015-2050";"Species richness";"Birds";"%";-0,226139261767112;"GammaGlobal";"Sgamma";"CSV";"SR_Global"
"SSP3xRCP6.0";"LU";"cSAR-iDiv";"Global";"2015-2050";"Species richness";"Birds";"%";-0,489577344282155;"GammaGlobal";"Sgamma";"CSV";"SR_Global"
"SSP5xRCP8.5";"LU";"cSAR-iDiv";"Global";"2015-2050";"Species richness";"Birds";"%";-0,432981790330497;"GammaGlobal";"Sgamma";"CSV";"SR_Global"
"Historical";"LU";"cSAR-iDiv";"Global";"1900-2015";"Species richness";"Forest_Birds";"%";-4,35240782992891;"GammaGlobal";"Sgamma";"CSV";"SR_Global"
"SSP1xRCP2.6";"LU";"cSAR-iDiv";"Global";"2015-2050";"Species richness";"Forest_Birds";"%";-0,557687716593727;"GammaGlobal";"Sgamma";"CSV";"SR_Global"
"SSP3xRCP6.0";"LU";"cSAR-iDiv";"Global";"2015-2050";"Species richness";"Forest_Birds";"%";-1,33454829422091;"GammaGlobal";"Sgamma";"CSV";"SR_Global"
"SSP5xRCP8.5";"LU";"cSAR-iDiv";"Global";"2015-2050";"Species richness";"Forest_Birds";"%";-1,14803370586164;"GammaGlobal";"Sgamma";"CSV";"SR_Global"
"Historical";"LU";"cSAR-iDiv";"Global";"1900-2015";"Species richness";"Other_Birds";"%";-0,125688742001199;"GammaGlobal";"Sgamma";"CSV";"SR_Global"
"SSP1xRCP2.6";"LU";"cSAR-iDiv";"Global";"2015-2050";"Species richness";"Other_Birds";"%";-0,0512124255458399;"GammaGlobal";"Sgamma";"CSV";"SR_Global"
"SSP3xRCP6.0";"LU";"cSAR-iDiv";"Global";"2015-2050";"Species richness";"Other_Birds";"%";-0,0437659015807593;"GammaGlobal";"Sgamma";"CSV";"SR_Global"
"SSP5xRCP8.5";"LU";"cSAR-iDiv";"Global";"2015-2050";"Species richness";"Other_Birds";"%";-0,055717318276011;"GammaGlobal";"Sgamma";"CSV";"SR_Global"
"Historical";"LU";"cSAR-IIASA";"Global";"1900-2015";"Species richness";"Amphibians";"%";-15,44;"Alpha";"Salpha";"CSV";"SR"
"SSP1xRCP2.6";"LU";"cSAR-IIASA";"Global";"2015-2050";"Species richness";"Amphibians";"%";-1,91;"Alpha";"Salpha";"CSV";"SR"
"SSP3xRCP6.0";"LU";"cSAR-IIASA";"Global";"2015-2050";"Species richness";"Amphibians";"%";-4,31;"Alpha";"Salpha";"CSV";"SR"
"SSP5xRCP8.5";"LU";"cSAR-IIASA";"Global";"2015-2050";"Species richness";"Amphibians";"%";-3,43;"Alpha";"Salpha";"CSV";"SR"
"Historical";"LU";"cSAR-IIASA";"Global";"1900-2015";"Species richness";"Birds";"%";-5,06;"Alpha";"Salpha";"CSV";"SR"
"SSP1xRCP2.6";"LU";"cSAR-IIASA";"Global";"2015-2050";"Species richness";"Birds";"%";-0,43;"Alpha";"Salpha";"CSV";"SR"
"SSP3xRCP6.0";"LU";"cSAR-IIASA";"Global";"2015-2050";"Species richness";"Birds";"%";-1,2;"Alpha";"Salpha";"CSV";"SR"
"SSP5xRCP8.5";"LU";"cSAR-IIASA";"Global";"2015-2050";"Species richness";"Birds";"%";-1,15;"Alpha";"Salpha";"CSV";"SR"
"Historical";"LU";"cSAR-IIASA";"Global";"1900-2015";"Species richness";"Mammals";"%";-5,9954675403167;"Alpha";"Salpha";"CSV";"SR"
"SSP1xRCP2.6";"LU";"cSAR-IIASA";"Global";"2015-2050";"Species richness";"Mammals";"%";-0,64;"Alpha";"Salpha";"CSV";"SR"
"SSP3xRCP6.0";"LU";"cSAR-IIASA";"Global";"2015-2050";"Species richness";"Mammals";"%";-1,16;"Alpha";"Salpha";"CSV";"SR"
"SSP5xRCP8.5";"LU";"cSAR-IIASA";"Global";"2015-2050";"Species richness";"Mammals";"%";-0,99;"Alpha";"Salpha";"CSV";"SR"
"Historical";"LU";"cSAR-IIASA";"Global";"1900-2015";"Species richness";"Plants";"%";-7,34;"Alpha";"Salpha";"CSV";"SR"
"SSP1xRCP2.6";"LU";"cSAR-IIASA";"Global";"2015-2050";"Species richness";"Plants";"%";-0,24;"Alpha";"Salpha";"CSV";"SR"
"SSP3xRCP6.0";"LU";"cSAR-IIASA";"Global";"2015-2050";"Species richness";"Plants";"%";-1,43;"Alpha";"Salpha";"CSV";"SR"
"SSP5xRCP8.5";"LU";"cSAR-IIASA";"Global";"2015-2050";"Species richness";"Plants";"%";-0,84;"Alpha";"Salpha";"CSV";"SR"
"Historical";"LU";"cSAR-IIASA";"Global";"1900-2015";"Species richness";"Reptiles";"%";-8,7;"Alpha";"Salpha";"CSV";"SR"
"SSP1xRCP2.6";"LU";"cSAR-IIASA";"Global";"2015-2050";"Species richness";"Reptiles";"%";-0,59;"Alpha";"Salpha";"CSV";"SR"
"SSP3xRCP6.0";"LU";"cSAR-IIASA";"Global";"2015-2050";"Species richness";"Reptiles";"%";-1,99;"Alpha";"Salpha";"CSV";"SR"
"SSP5xRCP8.5";"LU";"cSAR-IIASA";"Global";"2015-2050";"Species richness";"Reptiles";"%";-2,1;"Alpha";"Salpha";"CSV";"SR"
"Historical";"LU";"cSAR-IIASA";"Global";"1900-2015";"Species richness (diversity-weighted)";"All";"%";-9,31182406652875;"Alpha";"SSalpha";"Raster";"SR-local"
"SSP1xRCP2.6";"LU";"cSAR-IIASA";"Global";"2015-2050";"Species richness (diversity-weighted)";"All";"%";-0,570263424266353;"Alpha";"SSalpha";"Raster";"SR-local"
"SSP3xRCP6.0";"LU";"cSAR-IIASA";"Global";"2015-2050";"Species richness (diversity-weighted)";"All";"%";-2,51907721110584;"Alpha";"SSalpha";"Raster";"SR-local"
"SSP5xRCP8.5";"LU";"cSAR-IIASA";"Global";"2015-2050";"Species richness (diversity-weighted)";"All";"%";-1,88508443949756;"Alpha";"SSalpha";"Raster";"SR-local"
"Historical";"LU";"cSAR-IIASA";"Global";"1900-2015";"Species richness";"All";"%";-8,11193953544964;"Alpha";"Salpha";"Raster";"SR-local"
"SSP1xRCP2.6";"LU";"cSAR-IIASA";"Global";"2015-2050";"Species richness";"All";"%";-0,376221570563123;"Alpha";"Salpha";"Raster";"SR-local"
"SSP3xRCP6.0";"LU";"cSAR-IIASA";"Global";"2015-2050";"Species richness";"All";"%";-1,76085418063573;"Alpha";"Salpha";"Raster";"SR-local"
"SSP5xRCP8.5";"LU";"cSAR-IIASA";"Global";"2015-2050";"Species richness";"All";"%";-1,17004833173177;"Alpha";"Salpha";"Raster";"SR-local"
"Historical";"LU";"GLOBIO";"Global";"1900";"Intactness";"All";"ABS";0,901071691175732;"Alpha";"Ialpha";"Raster";"MSA"
"Historical";"LU";"GLOBIO";"Global";"2015";"Intactness";"All";"ABS";0,796214636717063;"Alpha";"Ialpha";"Raster";"MSA"
"SSP1xRCP2.6";"LU";"GLOBIO";"Global";"2050";"Intactness";"All";"ABS";0,801000154613393;"Alpha";"Ialpha";"Raster";"MSA"
"SSP3xRCP6.0";"LU";"GLOBIO";"Global";"2050";"Intactness";"All";"ABS";0,772386085539128;"Alpha";"Ialpha";"Raster";"MSA"
"SSP5xRCP8.5";"LU";"GLOBIO";"Global";"2050";"Intactness";"All";"ABS";0,779996809907747;"Alpha";"Ialpha";"Raster";"MSA"
"SSP1xRCP2.6";"LUCC";"GLOBIO";"Global";"2050";"Intactness";"All";"ABS";0,714742934364267;"Alpha";"Ialpha";"Raster";"MSA"
"SSP3xRCP6.0";"LUCC";"GLOBIO";"Global";"2050";"Intactness";"All";"ABS";0,664554493541997;"Alpha";"Ialpha";"Raster";"MSA"
"SSP5xRCP8.5";"LUCC";"GLOBIO";"Global";"2050";"Intactness";"All";"ABS";0,653916349633196;"Alpha";"Ialpha";"Raster";"MSA"
"Historical";"LU";"GLOBIO";"Global";"1900-2015";"Intactness";"All";"%";-12,7329475267857;"Alpha";"Ialpha";"Raster";"MSA"
"SSP1xRCP2.6";"LU";"GLOBIO";"Global";"2015-2050";"Intactness";"All";"%";0,810378237864518;"Alpha";"Ialpha";"Raster";"MSA"
"SSP3xRCP6.0";"LU";"GLOBIO";"Global";"2015-2050";"Intactness";"All";"%";-3,43391375828417;"Alpha";"Ialpha";"Raster";"MSA"
"SSP5xRCP8.5";"LU";"GLOBIO";"Global";"2015-2050";"Intactness";"All";"%";-2,2898978489152;"Alpha";"Ialpha";"Raster";"MSA"
"SSP1xRCP2.6";"LUCC";"GLOBIO";"Global";"2015-2050";"Intactness";"All";"%";-3,19753464511468;"Alpha";"Ialpha";"Raster";"MSA"
"SSP3xRCP6.0";"LUCC";"GLOBIO";"Global";"2015-2050";"Intactness";"All";"%";-10,5449497616903;"Alpha";"Ialpha";"Raster";"MSA"
"SSP5xRCP8.5";"LUCC";"GLOBIO";"Global";"2015-2050";"Intactness";"All";"%";-11,8121074897878;"Alpha";"Ialpha";"Raster";"MSA"
"Historical";"LU";"INSIGHTS";"Global";"1900-2015";"Habitat extent";"Mammals";"%";-11,8121074897878;"GammaGlobal";"Hgamma";"CSV";"p50_ii"
"SSP1xRCP2.6";"LU";"INSIGHTS";"Global";"2015-2050";"Habitat extent";"Mammals";"%";-0,0733596426840799;"GammaGlobal";"Hgamma";"CSV";"p50_ii"
"SSP3xRCP6.0";"LU";"INSIGHTS";"Global";"2015-2050";"Habitat extent";"Mammals";"%";-1,12726890213276;"GammaGlobal";"Hgamma";"CSV";"p50_ii"
"SSP5xRCP8.5";"LU";"INSIGHTS";"Global";"2015-2050";"Habitat extent";"Mammals";"%";-0,605122255969938;"GammaGlobal";"Hgamma";"CSV";"p50_ii"
"SSP1xRCP2.6";"LUCC";"INSIGHTS";"Global";"2015-2050";"Habitat extent";"Mammals";"%";-4,90278003344557;"GammaGlobal";"Hgamma";"CSV";"p50_ii"
"SSP3xRCP6.0";"LUCC";"INSIGHTS";"Global";"2015-2050";"Habitat extent";"Mammals";"%";-11,7381595022398;"GammaGlobal";"Hgamma";"CSV";"p50_ii"
"SSP5xRCP8.5";"LUCC";"INSIGHTS";"Global";"2015-2050";"Habitat extent";"Mammals";"%";-16,0775769576896;"GammaGlobal";"Hgamma";"CSV";"p50_ii"
"Historical";"LU";"INSIGHTS";"Global";"1900-2015";"Species richness (diversity-weighted)";"Mammals";"%";-0,000999397491433116;"Alpha";"SSalpha";"Raster";"pda_local"
"SSP1xRCP2.6";"LU";"INSIGHTS";"Global";"2015-2050";"Species richness (diversity-weighted)";"Mammals";"%";0,0270250995434096;"Alpha";"SSalpha";"Raster";"pda_local"
"SSP3xRCP6.0";"LU";"INSIGHTS";"Global";"2015-2050";"Species richness (diversity-weighted)";"Mammals";"%";0,0300738669319126;"Alpha";"SSalpha";"Raster";"pda_local"
"SSP5xRCP8.5";"LU";"INSIGHTS";"Global";"2015-2050";"Species richness (diversity-weighted)";"Mammals";"%";0,0252060506711542;"Alpha";"SSalpha";"Raster";"pda_local"
"SSP1xRCP2.6";"LUCC";"INSIGHTS";"Global";"2015-2050";"Species richness (diversity-weighted)";"Mammals";"%";-7,77193614820351;"Alpha";"SSalpha";"Raster";"pda_local"
"SSP3xRCP6.0";"LUCC";"INSIGHTS";"Global";"2015-2050";"Species richness (diversity-weighted)";"Mammals";"%";-10,5633235609435;"Alpha";"SSalpha";"Raster";"pda_local"
"SSP5xRCP8.5";"LUCC";"INSIGHTS";"Global";"2015-2050";"Species richness (diversity-weighted)";"Mammals";"%";-14,8518156478455;"Alpha";"SSalpha";"Raster";"pda_local"
"Historical";"LU";"INSIGHTS";"Global";"1900-2015";"Species richness";"Mammals";"%";-0,00802867353764416;"Alpha";"Salpha";"Raster";"pda_local"
"SSP1xRCP2.6";"LU";"INSIGHTS";"Global";"2015-2050";"Species richness";"Mammals";"%";0,0647024515544405;"Alpha";"Salpha";"Raster";"pda_local"
"SSP3xRCP6.0";"LU";"INSIGHTS";"Global";"2015-2050";"Species richness";"Mammals";"%";0,17245984930413;"Alpha";"Salpha";"Raster";"pda_local"
"SSP5xRCP8.5";"LU";"INSIGHTS";"Global";"2015-2050";"Species richness";"Mammals";"%";0,0615039133781094;"Alpha";"Salpha";"Raster";"pda_local"
"SSP1xRCP2.6";"LUCC";"INSIGHTS";"Global";"2015-2050";"Species richness";"Mammals";"%";-8,96598968297113;"Alpha";"Salpha";"Raster";"pda_local"
"SSP3xRCP6.0";"LUCC";"INSIGHTS";"Global";"2015-2050";"Species richness";"Mammals";"%";-10,9768494864267;"Alpha";"Salpha";"Raster";"pda_local"
"SSP5xRCP8.5";"LUCC";"INSIGHTS";"Global";"2015-2050";"Species richness";"Mammals";"%";-14,1301681966878;"Alpha";"Salpha";"Raster";"pda_local"
"Historical";"LU";"INSIGHTS";"Global";"1900-2015";"Species richness";"Mammals";"%";0;"GammaGlobal";"Sgamma";"CSV";"pda"
"SSP1xRCP2.6";"LU";"INSIGHTS";"Global";"2015-2050";"Species richness";"Mammals";"%";0;"GammaGlobal";"Sgamma";"CSV";"pda"
"SSP3xRCP6.0";"LU";"INSIGHTS";"Global";"2015-2050";"Species richness";"Mammals";"%";0;"GammaGlobal";"Sgamma";"CSV";"pda"
"SSP5xRCP8.5";"LU";"INSIGHTS";"Global";"2015-2050";"Species richness";"Mammals";"%";0;"GammaGlobal";"Sgamma";"CSV";"pda"
"SSP1xRCP2.6";"LUCC";"INSIGHTS";"Global";"2015-2050";"Species richness";"Mammals";"%";-0,990449239476477;"GammaGlobal";"Sgamma";"CSV";"pda"
"SSP3xRCP6.0";"LUCC";"INSIGHTS";"Global";"2015-2050";"Species richness";"Mammals";"%";-2,65298903431199;"GammaGlobal";"Sgamma";"CSV";"pda"
"SSP5xRCP8.5";"LUCC";"INSIGHTS";"Global";"2015-2050";"Species richness";"Mammals";"%";-3,89105058365759;"GammaGlobal";"Sgamma";"CSV";"pda"
"SSP1xRCP2.6";"LUCC";"MOLSDM";"Global";"2015-2050";"Species richness";"Amphibians";"%";-4,05;"GammaGlobal";"Sgamma";"CSV";"extinction NoRegain"
"SSP3xRCP6.0";"LUCC";"MOLSDM";"Global";"2015-2050";"Species richness";"Amphibians";"%";-4,95999999999999;"GammaGlobal";"Sgamma";"CSV";"extinction NoRegain"
"SSP5xRCP8.5";"LUCC";"MOLSDM";"Global";"2015-2050";"Species richness";"Amphibians";"%";-7,86;"GammaGlobal";"Sgamma";"CSV";"extinction NoRegain"
"SSP1xRCP2.6";"LUCC";"MOLSDM";"Global";"2015-2050";"Species richness";"Birds";"%";-1,42999999999999;"GammaGlobal";"Sgamma";"CSV";"extinction NoRegain"
"SSP3xRCP6.0";"LUCC";"MOLSDM";"Global";"2015-2050";"Species richness";"Birds";"%";-1,72;"GammaGlobal";"Sgamma";"CSV";"extinction NoRegain"
"SSP5xRCP8.5";"LUCC";"MOLSDM";"Global";"2015-2050";"Species richness";"Birds";"%";-2,75;"GammaGlobal";"Sgamma";"CSV";"extinction NoRegain"
"SSP1xRCP2.6";"LUCC";"MOLSDM";"Global";"2015-2050";"Species richness";"Mammals";"%";-3,03999999999999;"GammaGlobal";"Sgamma";"CSV";"extinction NoRegain"
"SSP3xRCP6.0";"LUCC";"MOLSDM";"Global";"2015-2050";"Species richness";"Mammals";"%";-3,3;"GammaGlobal";"Sgamma";"CSV";"extinction NoRegain"
"SSP5xRCP8.5";"LUCC";"MOLSDM";"Global";"2015-2050";"Species richness";"Mammals";"%";-4,56999999999999;"GammaGlobal";"Sgamma";"CSV";"extinction NoRegain"
"Historical";"LU";"PREDICTS";"Global";"1900-2015";"Species richness (diversity-weighted)";"Alltaxa";"%";-4,77489620969329;"Alpha";"SSalpha";"Raster";"Richness"
"SSP1xRCP2.6";"LU";"PREDICTS";"Global";"2015-2050";"Species richness (diversity-weighted)";"Alltaxa";"%";0,0493583522910272;"Alpha";"SSalpha";"Raster";"Richness"
"SSP3xRCP6.0";"LU";"PREDICTS";"Global";"2015-2050";"Species richness (diversity-weighted)";"Alltaxa";"%";-0,893534066334615;"Alpha";"SSalpha";"Raster";"Richness"
"SSP5xRCP8.5";"LU";"PREDICTS";"Global";"2015-2050";"Species richness (diversity-weighted)";"Alltaxa";"%";-1,06966824594843;"Alpha";"SSalpha";"Raster";"Richness"
"Historical";"LU";"PREDICTS";"Global";"1900-2015";"Species richness";"Alltaxa";"%";-4,04571296769801;"Alpha";"Salpha";"Raster";"Richness"
"SSP1xRCP2.6";"LU";"PREDICTS";"Global";"2015-2050";"Species richness";"Alltaxa";"%";0,040026501666782;"Alpha";"Salpha";"Raster";"Richness"
"SSP3xRCP6.0";"LU";"PREDICTS";"Global";"2015-2050";"Species richness";"Alltaxa";"%";-0,732575049335759;"Alpha";"Salpha";"Raster";"Richness"
"SSP5xRCP8.5";"LU";"PREDICTS";"Global";"2015-2050";"Species richness";"Alltaxa";"%";-0,64649756395026;"Alpha";"Salpha";"Raster";"Richness"
"Historical";"LU";"PREDICTS";"Global";"1900";"Intactness";"Alltaxa";"ABS";0,909326510212191;"Alpha";"Ialpha";"Raster";"BIIAb"
"Historical";"LU";"PREDICTS";"Global";"2015";"Intactness";"Alltaxa";"ABS";0,807568091800476;"Alpha";"Ialpha";"Raster";"BIIAb"
"SSP1xRCP2.6";"LU";"PREDICTS";"Global";"2050";"Intactness";"Alltaxa";"ABS";0,818151442521222;"Alpha";"Ialpha";"Raster";"BIIAb"
"SSP3xRCP6.0";"LU";"PREDICTS";"Global";"2050";"Intactness";"Alltaxa";"ABS";0,786358617870901;"Alpha";"Ialpha";"Raster";"BIIAb"
"SSP5xRCP8.5";"LU";"PREDICTS";"Global";"2050";"Intactness";"Alltaxa";"ABS";0,794655996742829;"Alpha";"Ialpha";"Raster";"BIIAb"
"Historical";"LU";"PREDICTS";"Global";"1900-2015";"Intactness";"Alltaxa";"%";-11,8425519299957;"Alpha";"Ialpha";"Raster";"BIIAb"
"SSP1xRCP2.6";"LU";"PREDICTS";"Global";"2015-2050";"Intactness";"Alltaxa";"%";2,18053694795872;"Alpha";"Ialpha";"Raster";"BIIAb"
"SSP3xRCP6.0";"LU";"PREDICTS";"Global";"2015-2050";"Intactness";"Alltaxa";"%";-2,95342471476519;"Alpha";"Ialpha";"Raster";"BIIAb"
"SSP5xRCP8.5";"LU";"PREDICTS";"Global";"2015-2050";"Intactness";"Alltaxa";"%";-2,22100927829372;"Alpha";"Ialpha";"Raster";"BIIAb"
